site,natural,cultural,danger,url,country,year
Białowieża Forest,1.0,0.0,0.0,https://whc.unesco.org/en/list/33,Belarus,1979.0
Boyana Church,0.0,1.0,0.0,https://whc.unesco.org/en/list/42,Bulgaria,1979.0
Bryggen,0.0,1.0,0.0,https://whc.unesco.org/en/list/59,Norway,1979.0
Chartres Cathedral,0.0,1.0,0.0,https://whc.unesco.org/en/list/81,France,1979.0
Dinosaur Provincial Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/71,Canada,1979.0
Everglades National Park,1.0,0.0,1.0,https://whc.unesco.org/en/list/76,United States of America,1979.0
"Fasil Ghebbi, Gondar Region",0.0,1.0,0.0,https://whc.unesco.org/en/list/19,Ethiopia,1979.0
"Forts and Castles, Volta, Greater Accra, Central and Western Regions",0.0,1.0,0.0,https://whc.unesco.org/en/list/34,Ghana,1979.0
Grand Canyon National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/75,United States of America,1979.0
Historic Cairo,0.0,1.0,0.0,https://whc.unesco.org/en/list/89,Egypt,1979.0
Historical Complex of Split with the Palace of Diocletian,0.0,1.0,0.0,https://whc.unesco.org/en/list/97,Croatia,1979.0
Independence Hall,0.0,1.0,0.0,https://whc.unesco.org/en/list/78,United States of America,1979.0
Kathmandu Valley,0.0,1.0,0.0,https://whc.unesco.org/en/list/121,Nepal,1979.0
Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek,1.0,0.0,0.0,https://whc.unesco.org/en/list/72,Canada,1979.0
Madara Rider,0.0,1.0,0.0,https://whc.unesco.org/en/list/43,Bulgaria,1979.0
Medina of Tunis,0.0,1.0,0.0,https://whc.unesco.org/en/list/36,Tunisia,1979.0
"Meidan Emam, Esfahan",0.0,1.0,0.0,https://whc.unesco.org/en/list/115,Islamic Republic of,1979.0
Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,0.0,1.0,0.0,https://whc.unesco.org/en/list/86,Egypt,1979.0
Mont-Saint-Michel and its Bay,0.0,1.0,0.0,https://whc.unesco.org/en/list/80,France,1979.0
Natural and Cultural Heritage of the Ohrid region,1.0,1.0,0.0,https://whc.unesco.org/en/list/99,Albania,1979.0
Natural and Culturo-Historical Region of Kotor,0.0,1.0,0.0,https://whc.unesco.org/en/list/125,Montenegro,1979.0
Ngorongoro Conservation Area,1.0,1.0,0.0,https://whc.unesco.org/en/list/39,United Republic of Tanzania,1979.0
Nubian Monuments from Abu Simbel to Philae,0.0,1.0,0.0,https://whc.unesco.org/en/list/88,Egypt,1979.0
Old City of Dubrovnik,0.0,1.0,0.0,https://whc.unesco.org/en/list/95,Croatia,1979.0
Palace and Park of Versailles,0.0,1.0,0.0,https://whc.unesco.org/en/list/83,France,1979.0
Persepolis,0.0,1.0,0.0,https://whc.unesco.org/en/list/114,Islamic Republic of,1979.0
Plitvice Lakes National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/98,Croatia,1979.0
Prehistoric Sites and Decorated Caves of the Vézère Valley,0.0,1.0,0.0,https://whc.unesco.org/en/list/85,France,1979.0
Rock Drawings in Valcamonica,0.0,1.0,0.0,https://whc.unesco.org/en/list/94,Italy,1979.0
Rock-Hewn Churches of Ivanovo,0.0,1.0,0.0,https://whc.unesco.org/en/list/45,Bulgaria,1979.0
Sagarmatha National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/120,Nepal,1979.0
Stari Ras and Sopoćani,0.0,1.0,0.0,https://whc.unesco.org/en/list/96,Serbia,1979.0
Tchogha Zanbil,0.0,1.0,0.0,https://whc.unesco.org/en/list/113,Islamic Republic of,1979.0
Thracian Tomb of Kazanlak,0.0,1.0,0.0,https://whc.unesco.org/en/list/44,Bulgaria,1979.0
Tikal National Park,1.0,1.0,0.0,https://whc.unesco.org/en/list/64,Guatemala,1979.0
Urnes Stave Church,0.0,1.0,0.0,https://whc.unesco.org/en/list/58,Norway,1979.0
"Vézelay, Church and Hill",0.0,1.0,0.0,https://whc.unesco.org/en/list/84,France,1979.0
Virunga National Park,1.0,0.0,1.0,https://whc.unesco.org/en/list/63,Democratic Republic of the Congo,1979.0
Aksum,0.0,1.0,0.0,https://whc.unesco.org/en/list/15,Ethiopia,1980.0
Al Qal'a of Beni Hammad,0.0,1.0,0.0,https://whc.unesco.org/en/list/102,Algeria,1980.0
Ancient City of Bosra,0.0,1.0,1.0,https://whc.unesco.org/en/list/22,Syrian Arab Republic,1980.0
Archaeological Ruins at Moenjodaro,0.0,1.0,0.0,https://whc.unesco.org/en/list/138,Pakistan,1980.0
Asante Traditional Buildings,0.0,1.0,0.0,https://whc.unesco.org/en/list/35,Ghana,1980.0
Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol,0.0,1.0,0.0,https://whc.unesco.org/en/list/140,Pakistan,1980.0
Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,0.0,1.0,0.0,https://whc.unesco.org/en/list/93,Italy,1980.0
City of Valletta,0.0,1.0,0.0,https://whc.unesco.org/en/list/131,Malta,1980.0
Durmitor National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/100,Montenegro,1980.0
Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo,0.0,1.0,1.0,https://whc.unesco.org/en/list/135,Panama,1980.0
Garamba National Park,1.0,0.0,1.0,https://whc.unesco.org/en/list/136,Democratic Republic of the Congo,1980.0
"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura",0.0,1.0,0.0,https://whc.unesco.org/en/list/91,Holy See,1980.0
Historic Centre of Warsaw,0.0,1.0,0.0,https://whc.unesco.org/en/list/30,Poland,1980.0
Historic Town of Ouro Preto,0.0,1.0,0.0,https://whc.unesco.org/en/list/124,Brazil,1980.0
Ħal Saflieni Hypogeum,0.0,1.0,0.0,https://whc.unesco.org/en/list/130,Malta,1980.0
Ichkeul National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/8,Tunisia,1980.0
Kahuzi-Biega National Park,1.0,0.0,1.0,https://whc.unesco.org/en/list/137,Democratic Republic of the Congo,1980.0
Lower Valley of the Awash,0.0,1.0,0.0,https://whc.unesco.org/en/list/10,Ethiopia,1980.0
Lower Valley of the Omo,0.0,1.0,0.0,https://whc.unesco.org/en/list/17,Ethiopia,1980.0
Maya Site of Copan,0.0,1.0,0.0,https://whc.unesco.org/en/list/129,Honduras,1980.0
Megalithic Temples of Malta,0.0,1.0,0.0,https://whc.unesco.org/en/list/132,Malta,1980.0
Paphos,0.0,1.0,0.0,https://whc.unesco.org/en/list/79,Cyprus,1980.0
Redwood National and State Parks,1.0,0.0,0.0,https://whc.unesco.org/en/list/134,United States of America,1980.0
Røros Mining Town and the Circumference,0.0,1.0,0.0,https://whc.unesco.org/en/list/55,Norway,1980.0
Site of Palmyra,0.0,1.0,1.0,https://whc.unesco.org/en/list/23,Syrian Arab Republic,1980.0
Taxila,0.0,1.0,0.0,https://whc.unesco.org/en/list/139,Pakistan,1980.0
Tiya,0.0,1.0,0.0,https://whc.unesco.org/en/list/12,Ethiopia,1980.0
Amiens Cathedral,0.0,1.0,0.0,https://whc.unesco.org/en/list/162,France,1981.0
Archaeological Park and Ruins of Quirigua,0.0,1.0,0.0,https://whc.unesco.org/en/list/149,Guatemala,1981.0
"Arles, Roman and Romanesque Monuments",0.0,1.0,0.0,https://whc.unesco.org/en/list/164,France,1981.0
Cistercian Abbey of Fontenay,0.0,1.0,0.0,https://whc.unesco.org/en/list/165,France,1981.0
Darien National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/159,Panama,1981.0
Djoudj National Bird Sanctuary,1.0,0.0,0.0,https://whc.unesco.org/en/list/25,Senegal,1981.0
Fort and Shalamar Gardens in Lahore,0.0,1.0,0.0,https://whc.unesco.org/en/list/171,Pakistan,1981.0
Great Barrier Reef,1.0,0.0,0.0,https://whc.unesco.org/en/list/154,Australia,1981.0
Head-Smashed-In Buffalo Jump,0.0,1.0,0.0,https://whc.unesco.org/en/list/158,Canada,1981.0
"Historical Monuments at Makli, Thatta",0.0,1.0,0.0,https://whc.unesco.org/en/list/143,Pakistan,1981.0
Kakadu National Park,1.0,1.0,0.0,https://whc.unesco.org/en/list/147,Australia,1981.0
Los Glaciares National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/145,Argentina,1981.0
Mammoth Cave National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/150,United States of America,1981.0
Medina of Fez,0.0,1.0,0.0,https://whc.unesco.org/en/list/170,Morocco,1981.0
Mount Nimba Strict Nature Reserve,1.0,0.0,1.0,https://whc.unesco.org/en/list/155,Côte d'Ivoire,1981.0
Niokolo-Koba National Park,1.0,0.0,1.0,https://whc.unesco.org/en/list/153,Senegal,1981.0
Old City of Jerusalem and its Walls,0.0,1.0,1.0,https://whc.unesco.org/en/list/148,Site proposed by Jordan,1981.0
Olympic National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/151,United States of America,1981.0
Palace and Park of Fontainebleau,0.0,1.0,0.0,https://whc.unesco.org/en/list/160,France,1981.0
"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",0.0,1.0,0.0,https://whc.unesco.org/en/list/163,France,1981.0
Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,0.0,1.0,0.0,https://whc.unesco.org/en/list/144,United Republic of Tanzania,1981.0
Serengeti National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/156,United Republic of Tanzania,1981.0
SGang Gwaay,0.0,1.0,0.0,https://whc.unesco.org/en/list/157,Canada,1981.0
Speyer Cathedral,0.0,1.0,0.0,https://whc.unesco.org/en/list/168,Germany,1981.0
Willandra Lakes Region,1.0,1.0,0.0,https://whc.unesco.org/en/list/167,Australia,1981.0
Würzburg Residence with the Court Gardens and Residence Square,0.0,1.0,0.0,https://whc.unesco.org/en/list/169,Germany,1981.0
Aldabra Atoll,1.0,0.0,0.0,https://whc.unesco.org/en/list/185,Seychelles,1982.0
Ancient City of Polonnaruwa,0.0,1.0,0.0,https://whc.unesco.org/en/list/201,Sri Lanka,1982.0
Ancient City of Sigiriya,0.0,1.0,0.0,https://whc.unesco.org/en/list/202,Sri Lanka,1982.0
Archaeological Site of Cyrene,0.0,1.0,1.0,https://whc.unesco.org/en/list/190,Libya,1982.0
Archaeological Site of Leptis Magna,0.0,1.0,1.0,https://whc.unesco.org/en/list/183,Libya,1982.0
Archaeological Site of Sabratha,0.0,1.0,1.0,https://whc.unesco.org/en/list/184,Libya,1982.0
Cahokia Mounds State Historic Site,0.0,1.0,0.0,https://whc.unesco.org/en/list/198,United States of America,1982.0
Djémila,0.0,1.0,0.0,https://whc.unesco.org/en/list/191,Algeria,1982.0
"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",0.0,1.0,0.0,https://whc.unesco.org/en/list/203,France,1982.0
Historic Centre of Florence,0.0,1.0,0.0,https://whc.unesco.org/en/list/174,Italy,1982.0
Historic Centre of the Town of Olinda,0.0,1.0,0.0,https://whc.unesco.org/en/list/189,Brazil,1982.0
Lord Howe Island Group,1.0,0.0,0.0,https://whc.unesco.org/en/list/186,Australia,1982.0
M'Zab Valley,0.0,1.0,0.0,https://whc.unesco.org/en/list/188,Algeria,1982.0
"National History Park – Citadel, Sans Souci, Ramiers",0.0,1.0,0.0,https://whc.unesco.org/en/list/180,Haiti,1982.0
Old Havana and its Fortification System,0.0,1.0,0.0,https://whc.unesco.org/en/list/204,Cuba,1982.0
Old Walled City of Shibam,0.0,1.0,1.0,https://whc.unesco.org/en/list/192,Yemen,1982.0
Río Plátano Biosphere Reserve,1.0,0.0,1.0,https://whc.unesco.org/en/list/196,Honduras,1982.0
Sacred City of Anuradhapura,0.0,1.0,0.0,https://whc.unesco.org/en/list/200,Sri Lanka,1982.0
Selous Game Reserve,1.0,0.0,1.0,https://whc.unesco.org/en/list/199,United Republic of Tanzania,1982.0
Taï National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/195,Côte d'Ivoire,1982.0
Tasmanian Wilderness,1.0,1.0,0.0,https://whc.unesco.org/en/list/181,Australia,1982.0
Tassili n'Ajjer,1.0,1.0,0.0,https://whc.unesco.org/en/list/179,Algeria,1982.0
Timgad,0.0,1.0,0.0,https://whc.unesco.org/en/list/194,Algeria,1982.0
Tipasa,0.0,1.0,0.0,https://whc.unesco.org/en/list/193,Algeria,1982.0
Abbey Church of Saint-Savin sur Gartempe,0.0,1.0,0.0,https://whc.unesco.org/en/list/230,France,1983.0
Abbey of St Gall,0.0,1.0,0.0,https://whc.unesco.org/en/list/268,Switzerland,1983.0
Agra Fort,0.0,1.0,0.0,https://whc.unesco.org/en/list/251,India,1983.0
Ajanta Caves,0.0,1.0,0.0,https://whc.unesco.org/en/list/242,India,1983.0
Ancient City of Nessebar,0.0,1.0,0.0,https://whc.unesco.org/en/list/217,Bulgaria,1983.0
Benedictine Convent of St John at Müstair,0.0,1.0,0.0,https://whc.unesco.org/en/list/269,Switzerland,1983.0
Central Zone of the Town of Angra do Heroismo in the Azores,0.0,1.0,0.0,https://whc.unesco.org/en/list/206,Portugal,1983.0
City of Cuzco,0.0,1.0,0.0,https://whc.unesco.org/en/list/273,Peru,1983.0
Comoé National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/227,Côte d'Ivoire,1983.0
Convent of Christ in Tomar,0.0,1.0,0.0,https://whc.unesco.org/en/list/265,Portugal,1983.0
Ellora Caves,0.0,1.0,0.0,https://whc.unesco.org/en/list/243,India,1983.0
Great Smoky Mountains National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/259,United States of America,1983.0
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",1.0,0.0,0.0,https://whc.unesco.org/en/list/258,France,1983.0
Historic Sanctuary of Machu Picchu,1.0,1.0,0.0,https://whc.unesco.org/en/list/274,Peru,1983.0
"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)",0.0,1.0,0.0,https://whc.unesco.org/en/list/275,Argentina,1983.0
La Fortaleza and San Juan National Historic Site in Puerto Rico,0.0,1.0,0.0,https://whc.unesco.org/en/list/266,United States of America,1983.0
Monastery of Batalha,0.0,1.0,0.0,https://whc.unesco.org/en/list/264,Portugal,1983.0
Monastery of the Hieronymites and Tower of Belém in Lisbon,0.0,1.0,0.0,https://whc.unesco.org/en/list/263,Portugal,1983.0
Old City of Berne,0.0,1.0,0.0,https://whc.unesco.org/en/list/267,Switzerland,1983.0
Pilgrimage Church of Wies,0.0,1.0,0.0,https://whc.unesco.org/en/list/271,Germany,1983.0
Pirin National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/225,Bulgaria,1983.0
"Place Stanislas, Place de la Carrière and Place d'Alliance in Nancy",0.0,1.0,0.0,https://whc.unesco.org/en/list/229,France,1983.0
Rila Monastery,0.0,1.0,0.0,https://whc.unesco.org/en/list/216,Bulgaria,1983.0
Sangay National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/260,Ecuador,1983.0
Srebarna Nature Reserve,1.0,0.0,0.0,https://whc.unesco.org/en/list/219,Bulgaria,1983.0
Taj Mahal,0.0,1.0,0.0,https://whc.unesco.org/en/list/252,India,1983.0
Talamanca Range-La Amistad Reserves / La Amistad National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/205,Costa Rica,1983.0
Vallée de Mai Nature Reserve,1.0,0.0,0.0,https://whc.unesco.org/en/list/261,Seychelles,1983.0
Wood Buffalo National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/256,Canada,1983.0
"Alhambra, Generalife and Albayzín, Granada",0.0,1.0,0.0,https://whc.unesco.org/en/list/314,Spain,1984.0
Anjar,0.0,1.0,0.0,https://whc.unesco.org/en/list/293,Lebanon,1984.0
Baalbek,0.0,1.0,0.0,https://whc.unesco.org/en/list/294,Lebanon,1984.0
Burgos Cathedral,0.0,1.0,0.0,https://whc.unesco.org/en/list/316,Spain,1984.0
Byblos,0.0,1.0,0.0,https://whc.unesco.org/en/list/295,Lebanon,1984.0
Canadian Rocky Mountain Parks,1.0,0.0,0.0,https://whc.unesco.org/en/list/304,Canada,1984.0
Castles of Augustusburg and Falkenlust at Brühl,0.0,1.0,0.0,https://whc.unesco.org/en/list/288,Germany,1984.0
Chitwan National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/284,Nepal,1984.0
Group of Monuments at Mahabalipuram,0.0,1.0,0.0,https://whc.unesco.org/en/list/249,India,1984.0
Historic Centre of Cordoba,0.0,1.0,0.0,https://whc.unesco.org/en/list/313,Spain,1984.0
Iguazu National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/303,Argentina,1984.0
Lake Malawi National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/289,Malawi,1984.0
"Mana Pools National Park, Sapi and Chewore Safari Areas",1.0,0.0,0.0,https://whc.unesco.org/en/list/302,Zimbabwe,1984.0
"Monastery and Site of the Escurial, Madrid",0.0,1.0,0.0,https://whc.unesco.org/en/list/318,Spain,1984.0
"Port, Fortresses and Group of Monuments, Cartagena",0.0,1.0,0.0,https://whc.unesco.org/en/list/285,Colombia,1984.0
Salonga National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/280,Democratic Republic of the Congo,1984.0
Statue of Liberty,0.0,1.0,0.0,https://whc.unesco.org/en/list/307,United States of America,1984.0
"Sun Temple, Konârak",0.0,1.0,0.0,https://whc.unesco.org/en/list/246,India,1984.0
Tyre,0.0,1.0,0.0,https://whc.unesco.org/en/list/299,Lebanon,1984.0
Vatican City,0.0,1.0,0.0,https://whc.unesco.org/en/list/286,Holy See,1984.0
Works of Antoni Gaudí,0.0,1.0,0.0,https://whc.unesco.org/en/list/320,Spain,1984.0
Yosemite National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/308,United States of America,1984.0
Cave of Altamira and Paleolithic Cave Art of Northern Spain,0.0,1.0,0.0,https://whc.unesco.org/en/list/310,Spain,1985.0
Chavin (Archaeological Site),0.0,1.0,0.0,https://whc.unesco.org/en/list/330,Peru,1985.0
Göreme National Park and the Rock Sites of Cappadocia,1.0,1.0,0.0,https://whc.unesco.org/en/list/357,Türkiye,1985.0
Great Mosque and Hospital of Divriği,0.0,1.0,0.0,https://whc.unesco.org/en/list/358,Türkiye,1985.0
Hatra,0.0,1.0,1.0,https://whc.unesco.org/en/list/277,Iraq,1985.0
Historic Areas of Istanbul,0.0,1.0,0.0,https://whc.unesco.org/en/list/356,Türkiye,1985.0
Historic Centre of Salvador de Bahia,0.0,1.0,0.0,https://whc.unesco.org/en/list/309,Brazil,1985.0
Historic District of Old Québec,0.0,1.0,0.0,https://whc.unesco.org/en/list/300,Canada,1985.0
Historic Mosque City of Bagerhat,0.0,1.0,0.0,https://whc.unesco.org/en/list/321,Bangladesh,1985.0
Huascarán National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/333,Peru,1985.0
Kaziranga National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/337,India,1985.0
Keoladeo National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/340,India,1985.0
Manas Wildlife Sanctuary,1.0,0.0,0.0,https://whc.unesco.org/en/list/338,India,1985.0
Medina of Marrakesh,0.0,1.0,0.0,https://whc.unesco.org/en/list/331,Morocco,1985.0
Monuments of Oviedo and the Kingdom of the Asturias,0.0,1.0,0.0,https://whc.unesco.org/en/list/312,Spain,1985.0
Old Town of Ávila with its Extra-Muros Churches,0.0,1.0,0.0,https://whc.unesco.org/en/list/348,Spain,1985.0
Old Town of Segovia and its Aqueduct,0.0,1.0,0.0,https://whc.unesco.org/en/list/311,Spain,1985.0
Painted Churches in the Troodos Region,0.0,1.0,0.0,https://whc.unesco.org/en/list/351,Cyprus,1985.0
Petra,0.0,1.0,0.0,https://whc.unesco.org/en/list/326,Jordan,1985.0
Pont du Gard (Roman Aqueduct),0.0,1.0,0.0,https://whc.unesco.org/en/list/344,France,1985.0
Punic Town of Kerkuane and its Necropolis,0.0,1.0,0.0,https://whc.unesco.org/en/list/332,Tunisia,1985.0
Quseir Amra,0.0,1.0,0.0,https://whc.unesco.org/en/list/327,Jordan,1985.0
Rock Art of Alta,0.0,1.0,0.0,https://whc.unesco.org/en/list/352,Norway,1985.0
Rock-Art Sites of Tadrart Acacus,0.0,1.0,1.0,https://whc.unesco.org/en/list/287,Libya,1985.0
Royal Palaces of Abomey,0.0,1.0,0.0,https://whc.unesco.org/en/list/323,Benin,1985.0
Ruins of the Buddhist Vihara at Paharpur,0.0,1.0,0.0,https://whc.unesco.org/en/list/322,Bangladesh,1985.0
Sanctuary of Bom Jesus do Congonhas,0.0,1.0,0.0,https://whc.unesco.org/en/list/334,Brazil,1985.0
Santiago de Compostela (Old Town),0.0,1.0,0.0,https://whc.unesco.org/en/list/347,Spain,1985.0
St Mary's Cathedral and St Michael's Church at Hildesheim,0.0,1.0,0.0,https://whc.unesco.org/en/list/187,Germany,1985.0
Thracian Tomb of Sveshtari,0.0,1.0,0.0,https://whc.unesco.org/en/list/359,Bulgaria,1985.0
Ancient City of Aleppo,0.0,1.0,1.0,https://whc.unesco.org/en/list/21,Syrian Arab Republic,1986.0
Castles and Town Walls of King Edward in Gwynedd,0.0,1.0,0.0,https://whc.unesco.org/en/list/374,United Kingdom of Great Britain and Northern Ireland,1986.0
Chan Chan Archaeological Zone,0.0,1.0,1.0,https://whc.unesco.org/en/list/366,Peru,1986.0
Churches and Convents of Goa,0.0,1.0,0.0,https://whc.unesco.org/en/list/234,India,1986.0
Durham Castle and Cathedral,0.0,1.0,0.0,https://whc.unesco.org/en/list/370,United Kingdom of Great Britain and Northern Ireland,1986.0
Fatehpur Sikri,0.0,1.0,0.0,https://whc.unesco.org/en/list/255,India,1986.0
Garajonay National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/380,Spain,1986.0
Giant's Causeway and Causeway Coast,1.0,0.0,0.0,https://whc.unesco.org/en/list/369,United Kingdom of Great Britain and Northern Ireland,1986.0
Gondwana Rainforests of Australia,1.0,0.0,0.0,https://whc.unesco.org/en/list/368,Australia,1986.0
Great Zimbabwe National Monument,0.0,1.0,0.0,https://whc.unesco.org/en/list/364,Zimbabwe,1986.0
Group of Monuments at Hampi,0.0,1.0,0.0,https://whc.unesco.org/en/list/241,India,1986.0
Hattusha: the Hittite Capital,0.0,1.0,0.0,https://whc.unesco.org/en/list/377,Türkiye,1986.0
Historic Centre of Évora,0.0,1.0,0.0,https://whc.unesco.org/en/list/361,Portugal,1986.0
Historic City of Toledo,0.0,1.0,0.0,https://whc.unesco.org/en/list/379,Spain,1986.0
Iguaçu National Park,1.0,0.0,0.0,https://whc.unesco.org/en/list/355,Brazil,1986.0
Ironbridge Gorge,0.0,1.0,0.0,https://whc.unesco.org/en/list/371,United Kingdom of Great Britain and Northern Ireland,1986.0
Khajuraho Group of Monuments,0.0,1.0,0.0,https://whc.unesco.org/en/list/240,India,1986.0
Khami Ruins National Monument,0.0,1.0,0.0,https://whc.unesco.org/en/list/365,Zimbabwe,1986.0
Mudejar Architecture of Aragon,0.0,1.0,0.0,https://whc.unesco.org/en/list/378,Spain,1986.0
Old City of Sana'a,0.0,1.0,1.0,https://whc.unesco.org/en/list/385,Yemen,1986.0
Old Town of Cáceres,0.0,1.0,0.0,https://whc.unesco.org/en/list/384,Spain,1986.0
Old Town of Ghadamès,0.0,1.0,1.0,https://whc.unesco.org/en/list/362,Libya,1986.0
"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",0.0,1.0,0.0,https://whc.unesco.org/en/list/367,Germany,1986.0
Škocjan Caves,1.0,0.0,0.0,https://whc.unesco.org/en/list/390,Slovenia,1986.0
St Kilda,1.0,1.0,0.0,https://whc.unesco.org/en/list/387,United Kingdom of Great Britain and Northern Ireland,1986.0
"Stonehenge, Avebury and Associated Sites",0.0,1.0,0.0,https://whc.unesco.org/en/list/373,United Kingdom of Great Britain and Northern Ireland,1986.0
Studenica Monastery,0.0,1.0,0.0,https://whc.unesco.org/en/list/389,Serbia,1986.0
Studley Royal Park including the Ruins of Fountains Abbey,0.0,1.0,0.0,https://whc.unesco.org/en/list/372,United Kingdom of Great Britain and Northern Ireland,1986.0
Temple of Apollo Epicurius at Bassae,0.0,1.0,0.0,https://whc.unesco.org/en/list/392,Greece,1986.0
"Acropolis, Athens",0.0,1.0,0.0,https://whc.unesco.org/en/list/404,Greece,1987.0
Archaeological Site of Delphi,0.0,1.0,0.0,https://whc.unesco.org/en/list/393,Greece,1987.0
Bahla Fort,0.0,1.0,0.0,https://whc.unesco.org/en/list/433,Oman,1987.0
Blenheim Palace,0.0,1.0,0.0,https://whc.unesco.org/en/list/425,United Kingdom of Great Britain and Northern Ireland,1987.0
Brasilia,0.0,1.0,0.0,https://whc.unesco.org/en/list/445,Brazil,1987.0
"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",0.0,1.0,0.0,https://whc.unesco.org/en/list/400,Hungary,1987.0
"Cathedral, Alcázar and Archivo de Indias in Seville",0.0,1.0,0.0,https://whc.unesco.org/en/list/383,Spain,1987.0
Chaco Culture,0.0,1.0,0.0,https://whc.unesco.org/en/list/353,United States of America,1987.0
City of Bath,0.0,1.0,0.0,https://whc.unesco.org/en/list/428,United Kingdom of Great Britain and Northern Ireland,1987.0
City of Potosí,0.0,1.0,1.0,https://whc.unesco.org/en/list/420,Plurinational State of,1987.0
Dja Faunal Reserve,1.0,0.0,0.0,https://whc.unesco.org/en/list/407,Cameroon,1987.0
Elephanta Caves,0.0,1.0,0.0,https://whc.unesco.org/en/list/244,India,1987.0
